Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-tanzania.fhir.smart-immunizations-measles.json	29799	-	0	0	0	0	0	0	7	126	0	0	0	0	0	0	0	1	0	0	276	174	0	0	0	0	8	0	2
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesCIMR.json	1591	11	1	0	0	1	0	0	1	21	0	0	0	0	0	0	0	0	0	0	15	16	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesEval.json	1393	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	2090	10	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	20	9	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-CommunityHealthWorker.json	760	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	20	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-EPIManager.json	728	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-HealthWorker.json	559	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	17	1	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ICD11.json	5865	13	0	0	1	0	0	0	0	24	0	0	1	0	0	0	0	0	0	0	41	31756	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-IMMZ.C.json	3274	7	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	22	194	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.DE1.json	1045	4	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	173	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.DE5.json	2622	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	18	176	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.json	2728	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	18	159	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IMMZ.D4.json	1632	5	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	13	153	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-VaccineProducts.json	968	3	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	12	144	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-IMMZCConceptMap.json	7451	16	0	0	0	0	0	0	1	1439	0	0	0	0	0	0	0	0	0	0	50	71	0	0	1	0	2	0	0
fsh-generated/resources/ConceptMap-IMMZCSexToAdministrativeGender.json	2370	6	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	19	40	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-IMMZD1ConceptMap.json	6723	13	0	0	0	0	0	0	1	698	0	0	0	0	0	0	0	0	0	0	50	60	0	0	0	12	2	0	0
fsh-generated/resources/ConceptMap-IMMZD4ConceptMap.json	6379	13	0	0	0	0	0	0	0	474	0	0	0	0	0	0	0	0	0	0	45	43	0	0	0	0	1	0	0
fsh-generated/resources/Immunization-Immunization1.json	878	4	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	9	25	0	0	0	0	0	0	0
fsh-generated/resources/Measure-IMMZIND05.json	3320	7	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	0	0	0	0
fsh-generated/resources/Measure-IMMZIND40.json	3321	7	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	19	10	0	0	0	0	1	0	0
fsh-generated/resources/Medication-Vaccine-MSDMMRVaxPro.json	1004	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0	0
fsh-generated/resources/Medication-Vaccine-SIIMeasles.json	699	4	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-VaccineProposal1.json	455	3	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	6	18	0	0	0	0	0	0	0
fsh-generated/resources/Patient-P123456.json	287	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	13	0	0	0	0	0	0	0
fsh-generated/resources/Patient-P654321.json	287	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeasles.json	1531	4	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeaslesCI.json	2229	5	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZDTUmbrella.json	1914	5	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-AdministerVaccine.json	6359	10	0	0	0	0	0	0	1	38	0	0	0	0	0	0	0	0	0	0	70	16781	0	0	0	0	2	0	1
